briefing_date,ticker,source,verdict,conviction,score,horizon_days,entry_date,entry_price,exit_date,exit_price,fwd_return_pct,bench_return_pct,excess_pct,outcome,correct,sub_valuation,sub_quality,sub_momentum,sub_risk
2026-06-14,ZMID,v8b,HOLD,medium,57.3,21,2026-06-14,6.17,2026-07-14,7.28,17.99,7.39,10.6,graded,,50.0,75.0,52.0,55.0
2026-06-14,MICH,v8b,HOLD,medium,63.4,5,2026-06-14,37.0,2026-06-21,39.0,5.41,2.26,3.15,graded,,50.0,75.0,72.0,50.0
2026-06-14,MICH,v8b,HOLD,medium,63.4,21,2026-06-14,37.0,2026-07-14,38.27,3.43,7.39,-3.96,graded,,50.0,75.0,72.0,50.0
2026-06-14,GBCO,w1,WEEKLY_BUY,weekly,11.92,5,2026-06-14,28.5,2026-06-21,29.01,1.79,2.26,-0.47,graded,False,,,,
2026-06-14,GBCO,w1,WEEKLY_BUY,weekly,11.92,21,2026-06-14,28.5,2026-07-14,33.28,16.77,7.39,9.38,graded,True,,,,
2026-06-14,OLFI,w1,WEEKLY_BUY,weekly,6.21,5,2026-06-14,22.37,2026-06-21,22.5,0.58,2.26,-1.68,graded,False,,,,
2026-06-14,OLFI,w1,WEEKLY_BUY,weekly,6.21,21,2026-06-14,22.37,2026-07-14,22.87,2.24,7.39,-5.16,graded,False,,,,
2026-06-14,ASCM,w1,WEEKLY_BUY,weekly,5.32,5,2026-06-14,60.8,2026-06-21,59.11,-2.78,2.26,-5.04,graded,False,,,,
2026-06-14,ASCM,w1,WEEKLY_BUY,weekly,5.32,21,2026-06-14,60.8,2026-07-14,62.0,1.97,7.39,-5.42,graded,False,,,,
2026-06-14,ZMID,w1,WEEKLY_BUY,weekly,4.81,5,2026-06-14,6.17,2026-06-21,6.3,2.11,2.26,-0.15,graded,False,,,,
2026-06-14,ZMID,w1,WEEKLY_BUY,weekly,4.81,21,2026-06-14,6.17,2026-07-14,7.28,17.99,7.39,10.6,graded,True,,,,
